,comments,likes,username,date,channel
141,Day 219 of commenting until Bigthony Kisstano reviews Carriage House by Woodward and Parker,,Christian Fournier,19 hours ago,https://www.youtube.com/channel/UCeOyU3YFyKxYP5BV2p45Nqw
142,"We need ""twelve carat toothache"" review",,Moustakim Mourad,19 hours ago,https://www.youtube.com/channel/UCuXednfOBaa6i6KEO5joThA
143,Interesting,,Dibil Idiot,19 hours ago,https://www.youtube.com/channel/UCcjFSmlCYr3yNGHQ0q2eufQ
144,hi tony did u check out the new porridge radio,,chucklehead,18 hours ago,https://www.youtube.com/channel/UCE-cKrEz706ECaW8Ku-Q4cQ
145,Angel Olsen record out,,Will Frost,10 hours ago,https://www.youtube.com/channel/UCIghtvFCoFMP2P42FBLVOnw
146,PREACHERS DAUGHTER ?,,arbor,18 hours ago,https://www.youtube.com/channel/UCI4GSdhc0efJm_JoKEuLg3A
147,,,Spot OW,19 hours ago,https://www.youtube.com/channel/UCS0fLDtqc3WFzBYf05Z0hjw
148,Vibes,,Ekuzodia,19 hours ago,https://www.youtube.com/channel/UCkWQj9WjvxzcR39VfvU_SCQ
149,Antonio el Fantas,,D.,19 hours ago,https://www.youtube.com/channel/UCRTXug2aXXIUOGdx-RsHMdA
150,decent 8,,Mathias H,19 hours ago,https://www.youtube.com/channel/UCuhI4HP0POWuvoJqIr25w3w
151,i have terminal 5,,Cargopants™️,19 hours ago,https://www.youtube.com/channel/UCxkGT2kydEK4WhiYlSaVWUQ
152,Wheres the black flannel,,it really be like that doe,16 hours ago,https://www.youtube.com/channel/UCDVBSFKDaUgHZ0WLOS8477g
153,Yay,,Huh,19 hours ago,https://www.youtube.com/channel/UCFlk0EMPU4XCWmkU9q7r-Vw
154,the fool is better,,tree bark,19 hours ago,https://www.youtube.com/channel/UCLHP24Omy431366RMfteXMw
155,Early gang,,Daniel Glen,19 hours ago,https://www.youtube.com/channel/UCZdNSaxp-jes6JRfKuCukSQ
156,"That, shirts a little snug",,Bus Stop.,19 hours ago,https://www.youtube.com/channel/UC_nkkGApI9bKGZP28fB7s_A
157,"anthony you cant just talk about ed sheeran for 7:49 minutes just because the album is called ""the loser""",,WhiteRice69 -,19 hours ago,https://www.youtube.com/channel/UCc7tkxEjaFX37-rwXWrVeLw
158,No one cares drop the post review,,Joseph Celli,15 hours ago,https://www.youtube.com/channel/UCxxIwZZ6kZM--lE9wknqBPQ
159,me fr,,Awful Username,19 hours ago,https://www.youtube.com/channel/UCLl1f_ZrlXXZvNA4TYPMPsQ
160,W,,Super,12 hours ago,https://www.youtube.com/channel/UCu2OMopAbRO1VqkQ3sdBPsA
161,ok,1,Rowan Carroll,19 hours ago,https://www.youtube.com/channel/UCRYf7MjwxMHXTZyN4LpSlTg
162,first?,6,Loaded Painted,19 hours ago,https://www.youtube.com/channel/UC5i3QkqmNaA8X6tNItS9iPw
163,second ?,,pumpkinboi,19 hours ago,https://www.youtube.com/channel/UCh_cN6vIvvoLb_RhtDf9OYA
